Company ID;Company Name;Industry (ICB);Region;Year;PE Firm;PE/VC;URL of the Transaction;Description
31914;Salter Housewares Limited;Household Products;UK;2002;Equistone Partners Europe Limited;;https://www.equistonepe.com/investmentdetail/salter-housewares/144;Manufacturer of kitchen and bathroom scales and other housewares products based in Tonbridge, United Kingdom. The company offers a range of products including gadgets, kitchen accessories, bathroom scales, health and lifestyle products as well as spare parts to customers.
8152;Saludaes/ Novarroz - Produtos Alimentares;Health Care;;;Mola ;VC;https://www.distribuicaohoje.com/retalho/saludaes-muda-denominacao-para-novarroz/;Producer and distributor of rice. The company engages in the processing of rice and provides carolina rice, long grain rice, medium grain, arborio rice, sushi rice, parboiled rice, jasmin rice, basmati rice, brown rice and broken milled rice.
24885;Salutia.com;Media and Information Services;Columbia;;;;;Developer of a scientific and technological researching platform designed to conduct research projects in the health sciences and social sciences. The company's scientific and technological researching platform efficiently and securely process transactions and exchange information among various private healthcare industry players, primarily payers and providers of services, enabling healthcare professionals to access more complete, accurate information at the point of care.
809;Samica;;;;;;;S.A.M.I.C.A. S.r.l., was founded in 1965. The Company's line of business includes mining or quarrying crushed and broken stone.
2283;Sammi Atlas;;;;;;;
14157;Sammic S.L.;Distributors/Wholesale;South Korea;2018;Azelis;;https://sammichem.com;Wholesaler and distributor of cosmetics products and personal care ingredients in South Korea. The company's well-equipped laboratory brings high-quality ingredients, coupled with exemplary regulatory and compliance know-how, enabling customers to attain quality products at effective prices.
14185;Sampletest;Health Care;Spain;2004;3i Private Equite;;https://www.3i.com/media-centre/corporate-and-portfolio-news/2008/3i-agrees-sampletest-sale-following-successful-growth-strategy/#;Sampletest provides general analysis and basic diagnosis services to doctors’ surgeries throughout Portugal and Spain. Its strategy is to gradually complement these services with more complex diagnosis services. It covers a wide product range from regular tests to more complex practices such microbiology, haematology, endocrinology and immunology.
2284;Sampoerna Intl (PT Hanjaya Mandala Sampoerna);;Indonesia;2005;Phillip Morris;;https://www.wsj.com/articles/SB111078636094478469;PT Hanjaya Mandala Sampoerna Tbk is an Indonesian tobacco company. It produces a number of brands of cigarettes and is well known, such as Sampoerna A, Sampoerna Kretek, Sampoerna U, and Dji Sam Soe, the legendary King of Kretek. The scope of activities of the company comprises, among others manufacturing, trading, and distributing cigarettes. The company's flagship brand is Dji Sam Soe Kretek.
810;Samse;;France;2020;IDIA Capital Investissement;;https://www.ca-idia.com/actualite/le-groupe-credit-agricole-accompagne-les-dirigeants-les-salaries-et-les-actionnaires-historiques-du-groupe-samse/;SAMSE Group SA provides distributor of construction materials and tools, our group extends in France through a dense network of 340 points of sale. With our two businesses, trading and DIY, we offer our professional building and public works clients as well as private individuals complementary offers in a close relationship.
2285;Samsonite;Manufacturing, Travel;Luxembourg;2007;CVC Capital Partners;;https://mergr.com/cvc-capital-partners-acquires-samsonite-international-sa;Samsonite International designs, manufactures, and distributes luggage. The Company's products include suitcases, garment bags, casual bags, business cases, clothing, shoes, and accessories. Samsonite also licenses their trademarks for use on products such as travel accessories, leather goods, handbags, clothing, and furniture. Samsonite International was incorpoprated in 1910 and is based in Luxembourg City, Luxembourg.
2286;Samsung;;;;;;;
14335;San Antonio;Energy Exploration;Brazil;2007;GP Investments;;https://www.reuters.com/article/brazil-gpinvestments-restructure/gp-investments-oil-venture-restructures-debt-idUKN3016997520100830;Provider of integrated drilling and management services based in Buenos Aires, Argentina. The company offers specialized services, equipment and personnel on a contractual basis for the exploration and development of onshore oil and gas resources, enabling clients to get services associated with the maintenance and optimization of oil and gas wells.
5916;San Joaquin;Energy Production;United States;2021;Cresta;;https://www.crestafunds.com/san-joaquin-renewables-secures-165-million-to-build-flagship-rng-project/;Provider of energy services intended to convert unwanted orchard residues into renewable compressed natural gas (CNG). The company's offerings include providing a value-added outlet for the excess of woody biomass in the San Joaquin Valley and the excess of biomass in the San Joaquin Valley is being converted into Compressed natural gas (CNG), enabling clients to improve the environment and economy.
11337;San Paolo;Banking;Brazil;2006;;;https://group.intesasanpaolo.com/en/investor-relations/press-releases/2021/01/2021029-ubi-uk;Founded in 1996, Intesa Sanpaolo is a banking group that was formed by the merger of Banca Intesa and Sanpaolo IMI. The firm provides commercial banking services which include business banking, financial service, asset management, private banking, corporate banking, insurance, investment banking, and retail banking services. Intesa Sanpaolo was founded in 2007 and is based in Turin, Italy. The bank caters to industries such as retail, and manufacturing.
52136;San Sac;Manufacutirng, Wastemanagement;;2014;Accent Equity;PE;https://accentequity.se/cases/sansacgroup;Manufacturer and marketer of recycling and disposal equipment. The company's recycling and disposal equipment are developed using various concepts and are supplied from the company's warehouses, enabling customers to receive a wide range of tailored products.
41173;San Shing ;Manufacturing;Taiwan;2008;Lombard Investments, Inc.;PE;https://www.wsj.com/articles/DJFLBO0020130910e99ahg04y;San Shing Fastech Corp is a Taiwanese manufacturer of steel nuts and bolts. The company also produces washers, screws, wire processing, machineries, dies, and vehicle fasteners for automobiles.
20748;Sanborn;Manufacturing;Czech Republic;;Genesis Capital;;https://www.genesis.cz/en/private-equity/news/genesis-gains-a-majority-stake-in-sanborn;Manufacturer of specialized components, parts and equipment intended to serve the power, transport, oil and gas industries. The company offers parts for equipment, machine tools and also specializes in turning, milling, grinding and drilling, enabling manufacturers of generators and turbines, energy companies, heating plants and diesel engine manufacturers to get the desired components.
51945;Sand Hill Petroleum BV;Energy Exploration;Netherlands;;Warburg Pincus;;https://mergr.com/warburg-pincus-invests-in-sand-hill-petroleum-b.v.;Operator of an exploration and production company primarily focused on onshore conventional hydrocarbon resources in the Pannonian Basin in Hungary and Romania. The company uses modern North American exploration technology to mature onshore areas with the goal of identifying overlooked conventional resources, predominantly natural gas.
25131;Sanda/ Sanda Maleri;;;;Procuritas Capital;;https://www.procuritas.com/pcpii-acquires-the-assets-of-sanda-maleri-ab-including-subsidiaries;The acquired company is Sweden’s largest contractor for painting, flooring and window installation services
1452;Sanda Kan;;Hong Kong;2008;ZS Fund LP;;http://zsfundlp.com/adding-value-as-a-true-partner-1;Manufacturer and marketer of toys. The company produces a full range of model train locomotives, from the very small 1:220 scale to the large 1:22 scale products and other hobby items including electronic slot racing cars, sophisticated digital controls as well as accessories such as scenery, promotional cars and trucks.
30164;Sandburst;Broadcasting;United States;2006;Broadcom;;https://www.networkcomputing.com/networking/broadcom-pays-80-million-sandburst;Provider of semiconductor solutions for scalable packet switching and routing systems. The company develops and markets silicon solutions for the communications and data networking markets.
29996;Sandd;Logistics;Netherlands;2005;Neon Private Equity;;https://mergr.com/neon-private-equity-invests-in-sandd-bv;Operator of postal company in the Netherlands. The company processes and delivers direct marketing mail, catalogs, magazines, addressed printed matters and letters through their delivery people.
12382;Sanderling V Biomedical Co Investment Fund LP;;;;;;;
70020;Sanderling V Biomedical LP;;;;;;;
12197;Sanderling Venture Partners II;;;;;;;
12384;Sanderling Venture Partners III;;;;;;;
12198;Sanderling Venture Partners IV;;;;;;;
12199;Sanderling Venture Partners V Co Investment Fund;;;;;;;
4990;Sandherr;Packaging;1991;;Capvis AG;;https://www.kleinreport.ch/news/aus-sandherr-packungen-wird-greiner-packaging-ag-37492/;Sandherr Holding is a Packaging producer
41031;SandpiperCI;Retail;UK;2007;Duke Street Capital;;https://www.dukestreet.com/our-portfolio/sandpiperci.html;SandpiperCI Ltd. operates a chain of supermarkets, convenience and community stores, and petrol forecourts. It also distributes baked bread and morning goods, as well as operates a chain of hotels. 
25864;SandRidge Energy;Energy Exploration;United States;2007;Ares Private Equity Group;;https://mergr.com/ares-private-equity-group-exits-sandridge-energy;SandRidge Energy Inc is a US-based oil and natural gas company. It is engaged in the exploration, development, and production of crude oil, natural gas, and Natural gas liquids. Business activities of the group include Exploration and Production, Drilling and Oil Field Services, and Midstream Gas Services.
25086;Sanitas;Pharmaceuticals;Lithuania;2016;CVCI;;https://www.privateequityinternational.com/cvci-in-euro365m-pharma-exit/;Creator and manufacturer of generic drugs in Lithuania. The company makes and sells its products in nine Central and Eastern European countries. It develops its own dermatology, ophthalmology and hospital injectable drugs.
15727;Sanitec;Household Products;Finland;2005;EQT Group;;https://eqtgroup.com/current-portfolio/sanitec;Manufacturer of bathroom fixtures and fittings. The company offers bathroom ceramics, furniture, pre-wall flush, taps and mixers, baths and showers and various bathroom products.
13834;Sanitec;Household Products;Finland;2005;EQT Group;;https://eqtgroup.com/current-portfolio/sanitec;Manufacturer of bathroom fixtures and fittings. The company offers bathroom ceramics, furniture, pre-wall flush, taps and mixers, baths and showers and various bathroom products.
25504;Sanitors, Inc.;Building maintenance;United States;2007;The Carlyle Group;;https://www.carlyle.com/media-room/news-release-archive/carlyle-group-raises-436-million-first-fund-dedicated-mezzanine;Sanitors, Inc. is a provider of janitorial and landscape services to the commercial market in the United States. Janitorial services include floor cleaning and finishing, wall and window washing, furniture polishing, rug cleaning, dusting, and refuse collection. Landscape services include design and build, general maintenance, irrigation installation and management, and lawn and tree care.
46566;Sankaty Special Situations;FUND;United States;;;;;Sankaty Special Situations is a distressed debt fund managed by Bain Capital Credit. The fund is located in Boston, Massachusetts. The fund targets investments in the consumer durable, commercial product, manufacturing, infrastructure and industrial sectors.
20245;SanLuis/Diransa San Luis;;Argentina;2018;Lucen Capital;;https://lavca.org/2018/10/25/lucens-capital-acquires-argentinean-specialty-chemicals-producer-diransa-san-luis/;Manufacturer of emulsion-based polymers and chemical specialty products intended to provide safe processes and environmental protection. The company's offerings include water-based emulsions and resins, servicing coating, adhesive and graphic ink segment clients.
51494;SANPERE;Textiles;Spain;;;;https://www.ammc.ma/sites/default/files/SETTAX1.pdf;Manufacturer of home decoration fabric materials. The company supplies different types of branded, drapery, upholstery colorful fabrics, it also deals with interior designing, furnishings and producing decorative items for furnitures.
2817;Sanrise;Semiconductor;China;2022;IMCD;;https://www.imcdgroup.com/en/media-centre/press-releases/imcd-china-to-acquire-sanrise-bolstering-market-leadership-in-the-life-science-industry;Developer of power semiconductors. The company focuses on the R&D and design of power device semiconductor products and power management IC solutions including IGBT, SnowMOS™ (Super Junction MOSFET), TTMOS™ (SGT MOSFET), and SIC series that are widely used in power electronics, new energy, communication, data center, server power supply, automotive charging pile and new energy vehicle vehicle OBC, vehicle DC-DC, consumer appliances and imaging products, PD charging power supply and other applications, enabling clients with low-cost semiconductor options.
1335;SanRiver/Mid Florida Eye Center;;;;;;;Provider of eye care treatment services. The company' services include diabetic eye care, eyelid surgery, vision correction, comprehensive eye care and cataract and lens implants, enabling its patients to get access to premier eye care practice resulting from a combination of board-certified, fellowship-trained specialists in a wide range of eye conditions and diseases.
1678;Santa Cruz Nutritionals;Food and Beverages;United States;2010;Levine Leichtman Capital Partners;;https://www.llcp.com/portfolio/santa-cruz-nutritionals;Manufacturer of confectionery delivery systems intended for the functional food and nutraceutical markets. The company's products include calcium gummies, organic energy fruit jells and multi-vitamin jelly beans as well as other organic and sugar-free products, providing organic confectionery and dietary supplement products to its customers.
2885;Santa Maria Petroleum/Santa Maria Pacific LLC;;United States;2008;Kayne Anderson Capital Advisors LP;;;Santa Maria Pacific is a private exploration and production company based in Santa Maria, California that focuses on the development and production of oil properties in California
51958;Santander Asset Management;Financial Services;UK;2013;Warburg Pincus ;;https://www.santander.com/content/dam/santander-com/en/documentos/hechos-relevantes-c-n-m-v-/2013/05/HR-2013-05-30-Santander%20reaches%20agreement%20with%20Warburg%20Pincus%20and%20General%20Atlantic%20to%20grow%20its%20global%20asset%20management%20business-en.pdf;Provider of asset management services across Europe and Latin America. The company offers unit trusts, multi-manager funds, general insurance, as well as pension and collective-investment products and offers clients a comprehensive range of investment services, from investment funds to illiquid assets.
40916;Santé Développement;;France;2018;;;https://capitalfinance.lesechos.fr/deals/build-up/vitalia-soffre-sante-developpement-121748;Operator of healthcare facilities in Clermont-Ferrand, France. The company operates a chain of private medical, surgical and obstetric hospitals that offer 300 beds and 291 conventional, outpatient and maternity hospitalisation places along with in-vitro fertilization and hand surgery services, delivered through experienced practitioners.
42368;Sanyo Electric Logistics/Mitsui-Soko Logistics;;Japan;2012;The Longreach Group;;https://www.wsj.com/articles/SB10001424052970204520204577248841951619690;Provider of logistics services based in Tokyo, Japan. The company offers solutions covering the entire supply chain from manufacturing, planning to procurement, production, sales, after-sales service and merchandising in various industries, thereby helping clients with their logistics needs.
25216;SANZ;;;;;;;
9319;Sao Teofilo;Paper Manufacturing;Brazil;;Capital Groupe;;https://www.capitalgroup.com/pe/portfolio/cipef-iv/sao-teofilo.html;Manufacturer of pulp and paper products. The company produces bleached eucalyptus kraft pulp and a variety of paper products. It produces pulp both for sale and for use in paper production. It manufactures thermal, carbonless, printing and writing paper.
4112;Publicis Sapient;IT Consulting;United States;;Publicis Groupe;;https://www.cravath.com/news/sapient-s-3-7-billion-acquisition-by-publicis-groupe.html;Provider of IT consulting services intended for industries including consumer products, energy and commodities, financial services, health, retail and the public sector. The company's services include strategy and consulting, customer experience, design, technology, engineering, marketing platforms, data, artificial intelligence, innovation and digital product management, enabling customers to improve their operational effectiveness.
